Date,Open,High,Low,Close,Adj Close,Volume
2021-02-22,213.600006,215.199997,212.100006,215.199997,215.199997,152
2021-02-23,214.800003,214.800003,211.500000,211.500000,211.500000,85
2021-02-24,217.399994,219.300003,214.149994,219.000000,219.000000,0
2021-02-25,216.000000,217.199997,211.149994,211.149994,211.149994,40
2021-02-26,207.199997,219.449997,207.199997,218.550003,218.550003,4
2021-03-01,218.000000,218.000000,214.649994,217.500000,217.500000,0
2021-03-02,219.899994,220.649994,218.050003,219.649994,219.649994,0
2021-03-03,217.149994,217.149994,213.149994,213.850006,213.850006,7
2021-03-04,211.250000,220.199997,210.750000,214.550003,214.550003,0
2021-03-05,214.600006,219.250000,214.550003,219.250000,219.250000,0
2021-03-08,217.550003,222.100006,217.500000,218.449997,218.449997,0
2021-03-09,217.100006,225.300003,217.000000,225.300003,225.300003,10
2021-03-10,223.250000,223.949997,222.149994,222.199997,222.199997,2
2021-03-11,224.350006,231.649994,224.350006,231.649994,231.649994,40
2021-03-12,227.800003,227.800003,221.850006,222.899994,222.899994,0
2021-03-15,224.600006,230.750000,224.399994,230.750000,230.750000,10
2021-03-16,230.449997,236.649994,229.850006,234.699997,234.699997,30
2021-03-17,234.199997,243.250000,231.649994,236.449997,236.449997,10
2021-03-18,236.949997,237.899994,234.649994,236.699997,236.699997,0
2021-03-19,234.750000,245.000000,234.750000,243.750000,243.750000,0
2021-03-22,244.000000,250.750000,243.850006,249.699997,249.699997,61
2021-03-23,243.800003,250.100006,243.800003,249.149994,249.149994,0
2021-03-24,244.600006,247.699997,240.399994,240.800003,240.800003,2
2021-03-25,239.649994,240.750000,236.550003,236.550003,236.550003,6
2021-03-26,237.050003,241.050003,236.000000,236.899994,236.899994,1
2021-03-29,239.449997,247.850006,238.149994,247.850006,247.850006,433
2021-03-30,247.649994,248.500000,245.899994,247.250000,247.250000,22
2021-03-31,245.050003,251.850006,244.949997,251.850006,251.850006,0
2021-04-01,252.500000,255.600006,252.250000,252.500000,252.500000,1
2021-04-06,260.899994,262.100006,258.450012,259.399994,259.399994,32
2021-04-07,260.000000,262.799988,257.850006,262.799988,262.799988,2
2021-04-08,267.100006,267.100006,260.799988,262.049988,262.049988,61
2021-04-09,263.450012,263.850006,262.250000,262.299988,262.299988,9
2021-04-12,263.200012,263.200012,259.649994,260.549988,260.549988,1
2021-04-13,261.450012,262.100006,261.350006,261.649994,261.649994,0
2021-04-14,257.399994,260.000000,253.300003,254.100006,254.100006,21
2021-04-15,254.149994,259.049988,254.149994,259.049988,259.049988,0
2021-04-16,256.899994,257.350006,254.550003,254.550003,254.550003,0
2021-04-19,255.399994,255.750000,251.199997,251.199997,251.199997,0
2021-04-20,251.100006,251.100006,247.500000,249.750000,249.750000,20
2021-04-21,248.899994,251.000000,247.899994,249.300003,249.300003,4
2021-04-22,250.500000,251.750000,247.600006,249.500000,249.500000,50
2021-04-23,248.649994,249.750000,246.850006,249.250000,249.250000,50
2021-04-26,248.949997,252.699997,248.800003,250.100006,250.100006,0
2021-04-27,252.350006,252.350006,249.850006,252.250000,252.250000,0
2021-04-28,255.149994,256.700012,253.050003,254.350006,254.350006,9
2021-04-29,268.250000,272.750000,267.149994,269.200012,269.200012,87
2021-04-30,269.700012,272.799988,269.500000,270.950012,270.950012,140
2021-05-03,269.049988,271.549988,267.250000,267.250000,267.250000,57
2021-05-04,267.799988,267.799988,260.799988,261.799988,261.799988,0
2021-05-05,265.649994,266.350006,263.899994,263.899994,263.899994,2
2021-05-06,262.500000,264.600006,260.850006,264.600006,264.600006,0
2021-05-07,266.899994,268.200012,263.350006,263.350006,263.350006,18
2021-05-10,262.899994,262.899994,251.600006,252.550003,252.550003,37
2021-05-11,249.000000,251.649994,246.949997,251.649994,251.649994,0
2021-05-12,251.649994,252.800003,247.649994,248.850006,248.850006,10
2021-05-13,251.649994,254.149994,249.100006,251.199997,251.199997,0
2021-05-14,254.550003,258.600006,253.500000,258.600006,258.600006,0
2021-05-17,261.600006,261.600006,257.049988,257.250000,257.250000,10
